Wavelength (microns),E (W/m2/micron),Error on E
0.5375,1882,43.38202393
0.5385,1904,43.63484846
0.5395,1832,42.80186912
0.5405,1769,42.05948169
0.5415,1881,43.37049688
0.5425,1825,42.72001873
0.5435,1879,43.3474336
0.5445,1879,43.3474336
0.5455,1901,43.60045871
0.5465,1879,43.3474336
0.5475,1833,42.81354926
0.5485,1863,43.16248371
0.5495,1895,43.53159772
0.5505,1862,43.15089802
0.5515,1871,43.25505751
0.5525,1846,42.96510212
0.5535,1882,43.38202393
0.5545,1898,43.56604182
0.5555,1897,43.55456348
0.5565,1821,42.67317659
0.5575,1846,42.96510212
0.5585,1787,42.27292278
0.5595,1808,42.52058325
0.5605,1843,42.93017587
0.5615,1824,42.70831301
0.5625,1850,43.01162634
0.5635,1861,43.13930922
0.5645,1854,43.05810028
0.5655,1798,42.40283009
0.5665,1829,42.76680956
0.5675,1887,43.43961326
0.5685,1810,42.54409477
0.5695,1860,43.12771731
0.5705,1769,42.05948169
0.5715,1823,42.69660408
0.5725,1892,43.49712634
0.5735,1876,43.31281566
0.5745,1867,43.2087954
0.5755,1830,42.77849927
0.5765,1846,42.96510212
0.5775,1857,43.09292285
0.5785,1783,42.22558466
0.5795,1828,42.75511665
0.5805,1838,42.87190222
0.5815,1853,43.0464865
0.5825,1873,43.27817002
0.5835,1857,43.09292285
0.5845,1860,43.12771731
0.5855,1783,42.22558466
0.5865,1830,42.77849927
0.5875,1848,42.98837052
0.5885,1750,41.83300133
0.5895,1612,40.1497198
0.5905,1813,42.57933771
0.5915,1787,42.27292278
0.5925,1808,42.52058325
0.5935,1796,42.3792402
0.5945,1773,42.10700654
0.5955,1782,42.21374184
0.5965,1805,42.48529157
0.5975,1780,42.19004622
0.5985,1757,41.91658383
0.5995,1774,42.11887938
0.6005,1746,41.78516483
0.6015,1751,41.84495191
0.6025,1719,41.46082488
0.6035,1787,42.27292278
0.6045,1776,42.14261501
0.6055,1763,41.98809355
0.6065,1759,41.94043395
0.6075,1757,41.91658383
0.6085,1743,41.74925149
0.6095,1744,41.76122604
0.6105,1703,41.26742056
0.6115,1746,41.78516483
0.6125,1705,41.29164564
0.6135,1683,41.02438299
0.6145,1713,41.38840417
0.6155,1713,41.38840417
0.6165,1609,40.11234224
0.6175,1707,41.31585652
0.6185,1724,41.52107898
0.6195,1707,41.31585652
0.6205,1734,41.64132563
0.6215,1690,41.10960958
0.6225,1713,41.38840417
0.6235,1666,40.81666326
0.6245,1656,40.6939799
0.6255,1632,40.39801975
0.6265,1697,41.19465985
0.6275,1697,41.19465985
0.6285,1697,41.19465985
0.6295,1677,40.95119046
0.631,1639,40.48456496
0.633,1651,40.63249931
0.635,1656,40.6939799
0.637,1654,40.66939882
0.639,1651,40.63249931
0.641,1614,40.17461885
0.643,1621,40.26164428
0.645,1627,40.33608806
0.647,1603,40.03748244
0.649,1558,39.47150871
0.651,1606,40.07492982
0.653,1599,39.98749805
0.655,1532,39.14077158
0.657,1384,37.20215048
0.659,1549,39.35733731
0.661,1571,39.63584237
